文本,分类,情感,编号
李佳琦呜呜呜买了奶酪棒忘记备注找客服客服不理我怎么办,售后,negative,2341
抢奶酪棒忘记备注李佳琦了五根奶酪棒啊客服可能忙的没时间回复了,售后,negative,2342
李佳琦姐妹们，菲诺娜椰子冻家的客服真的太大牌了，品控也挺差的，左右相差很大，实体店也没遇到过这种情况,客服,negative,2343
李佳琦我在2016年下单买了usmile友蜜第一代电动牙刷，是我用的第一款电动牙刷，手柄和牙刷的颜值都戳我！,日用品质量,positive,2344
李佳琦我要疯了这是为啥优惠卷怎么一个都没用上，找客服也不理，重新拍也没货,客服,negative,2345
我心累啊李佳琦直播天猫客服真的够了，没见过这么整人的。。,客服,negative,2346
李佳琦，在你家买个东西，买到我怀疑人生，这辈子不会去健达家买了奇趣蛋，自己发货发了个空包，卡在半路，快半个月了没声音,发货,negative,2347
找卖家，卖家让我找天猫客服，找天猫客服天猫客服，整整问了8天，8天。天天让我等。,售后,negative,2348
我实在想不到为什么佳琦那么专业敬业的人开的店铺，请的客服却是那么的不专业，一个活动我真的问了快两天，最后一句话就可以说清楚的事情，没用的说了一大堆,客服,negative,2349
最近看了一场李佳琦的直播了，有两样东西打算买，可是店铺客服的态度真的让我震惊和生气。,客服,negative,2350
看到有集美说客服那边说佳琦身体不适，要注意身体啊，佳琦真的太努力了。。,主播品质,positive,2351
朱广权李佳琦直播，李佳琦的小助理已经连续两天了一进直播间就是开始的时候，直播根本不同步，给客服留言了也没有回复，是我网络的问题吗？,客服,negative,2352
李佳琦各位姐妹直播间抢到的东西有问题，店家客服不理我，咋办呀！,售后,negative,2353
佳琦看一看处理一下啊！！！不能店大欺客啊！客服完全没反应！,客服,negative,2354
李佳琦想问一下直播间购买的物品出现质量问题，因为遗失商品包装盒商家拒绝退款，应该怎么维权呀？,退款,negative,2355
你说你这锅是我用的第十天直播间说是不粘铁锅，我已经开了几次锅了，我感觉既粘锅又不像铁的，你说你有认真选品吗？,选品,negative,2356
有网友爆料李佳琦直播间卖的资生堂套装卖得比官方直播间贵。,价格,negative,2357
怎么买都比在他直播间买便宜啊。。,价格,negative,2358
嘴上说着为各位美眉考虑着想事实呢和商家串口供这些天过去好像并没有任何动作和商家一起把买家当羊毛薅的主播很多，不缺李佳琦一个，就这还不如618把你封死，恶心出来恰钱,主播品质,negative,2359
李佳琦作为中间人难道没有责任？,主播责任感,negative,2360
只有你兜里的钱才是主播最想要的,主播品质,negative,2361
李佳琦以后大型活动真没必要蹲李佳琦直播间，蹲一晚上高价买入还要受商家的气,价格,negative,2362
绝大多数姐妹兄弟们还是支持佳琦的！,主播支持度,positive,2363
我们也愿意相信佳琦和团队不会辜负大家守护等候这么久的心意和不抛弃不放弃的决心！,主播信任度,positive,2364
商家少发了两盒，客服冷淡回复就是消费者的问题，他们不可能有错，全世界错了他们都不可能少发，退货被拒绝,退货,negative,2365
最失望的还是李佳琦，在他直播间买的一点也不管。,主播支持度,negative,2366
麦趣尔让我第一次体验到了维权困难，12315不管，淘宝不管，李佳琦也不管，踢皮球一样的踢来踢去，一句等没下文。,主播责任感,negative,2367
李佳琦从一个小小的口红一哥到现在，起码他的直播间我没买过三无产品。,选品,positive,2368
从此之后只看李佳琦。,主播支持度,positive,2369
实在不清楚这次到底是怎么回事，但是希望李佳琦可以回来。,主播支持度,positive,2370
李佳琦这批松子也太差了吧,食品质量,negative,2371
买来当年货和家人一起吃、结果人人都能吃到坏的，这质量说不过去了吧。,食品质量,negative,2372
在佳琦直播间买的穗康玉米是馊掉变质的，请问姐妹们维权要怎么找佳琦那边客服啊？,食品质量,negative,2373
这几个月对佳琦的爱与信任终究是错付了,主播信任度,negative,2374
找了一号链接根本没用，只叫我退款，根本没有站在消费者的角度为我们解决问题。,退款,negative,2375
粉丝们，你们清醒一点，李佳琦就是卖了观众，他赚了钱，观众被坑了钱，还同情他也是贱,主播责任感,negative,2376
无论在产品品质和价值都是不一样的，让李佳琦团队去解决，到现在也没有个说法。,售后,negative,2377
李佳琦工作室声明不逃避问题，不推卸责任，有担当，挺好的呀？,主播责任感,positive,2378
李佳琦其实挺不错的！,主播品质,positive,2379
不推卸责任不回避问题，这点真的很在佳琦直播间买过东西的MM们，你们觉得怎么样？,主播责任感,positive,2380
李佳琦工作室声明不逃避问题，不推卸责任。,主播责任感,positive,2381
李佳琦值得信任。,主播信任度,positive,2382
李佳琦以后不要选喜临门了，太太太垃圾的售后服务了，虚假发货货品延期推卸责任，太多姐妹遇到了，真的心累,售后,negative,2383
李佳琦欧莱雅安瓶面膜少发客服推卸责任怎么处理两天了已经能不能快速解决,售后,negative,2384
看了这么久相信佳琦不是这样的人！,主播信任度,positive,2385
李佳琦应该把最起码的态度拿出来，而不是相互甩锅，相互推卸责任，这样对于消费者来说是很受伤的。,主播责任感,negative,2386
因为我压根就不喜欢这一类带货的主播，带货的明星不管你是主播还是明星，我觉得自己信不过。,主播信任度,negative,2387
总体来说李佳琦的工作人员处理的态度是可以的,售后,negative,2388
"很多女生买李佳琦唇膏过敏假货，客服推卸责任，对李佳琦失望""。",主播信任度,negative,2389
李佳琦完美日记的售后也太差了吧，快递丢了啥也不管，一直推卸责任十五天了都是机器人客服,售后,negative,2390
客服不直接回应问题，一直推卸责任，打官方电话也没人接，联系淘小蜜也不解决！！！,售后,negative,2391
找了官方客服、淘小蜜、李佳琦客服都没有用了,售后,negative,2392
而李佳琦的反复求证恰恰体现了诚意，这才是出了错仍能被大家接受的关键。,主播信任度,positive,2393
一个人能够吸引另外一群人，是这个人的能力，同时也是这个人应该承担的一份责任。,主播责任感,positive,2394
李佳琦道歉怎么三天两头这道歉那道歉的，李佳琦敢于承担责任真的很不错，比推卸责任的强太多了,主播责任感,positive,2395
李佳琦道歉敢于承担责任真的很不错比推卸责任的强太多了,主播责任感,positive,2396
李佳琦道歉虽然是躺枪的，但是李佳琦并没有刻意甩锅。,主播责任感,positive,2397
不得不说李佳琦的情商真的很高,主播品质,positive,2398
李佳琦道歉男人有担当，不错比起有些艺人更有责任感不是推卸责任躲在公司后面的“巨婴”(这词粉丝心中的)强太多了！,主播责任感,positive,2399
现在佳琦亲自站出来道歉，没有推卸责任，也是非常担当了。,主播责任感,positive,2400
李佳琦再讲段子的间也说出了自己成功的原因是不懈的努力，也吐槽承认自己卖“锅”的黑历史但是也不做作的推卸责任，在吐槽讲段子的之中传递了努力向上的正能量。,主播责任感,positive,2401
李佳琦的声明我觉得很可以，一点都不推卸责任，很认真负责，希望可以一直这样用心。,主播责任感,positive,2402
李佳琦工作室声明不回避不推卸责任，感觉态度很端正啊。,主播责任感,positive,2403
道歉声明很有诚意，不推卸责任，我就是不买东西都喜欢看李佳奇的视频啊！,主播责任感,negative,2404
非常喜欢李佳琦！,主播支持度,positive,2405
在李佳琦直播间购买的欧莱雅精华比韩免还便宜！,价格,positive,2406
四舍五入就是不要钱，越来越喜欢李佳琦了,主播支持度,positive,2407
李佳琦工作室声明不推卸责任回应也很及时真的有让人感受到真诚,主播责任感,positive,2408
从这个双十一才开始看李佳琦的直播跟着下了好多单了而且佳琦真的是又温柔又给粉丝谋福利的那种！,福利,positive,2409
李佳琦工作室声明不回避问题，也不推卸责任，李佳琦不愧是我才看了一个星期直播就剁手无数的男人,主播责任感,positive,2410
不许欺负李佳琦！,主播支持度,positive,2411
他真的挺有人格魅力的，喜欢佳琦,主播品质,positive,2412
看直播下来感觉李佳琦真的是个很真诚的人每次直播都努力把自己最好的一面展现给大家他那种：,主播品质,positive,2413
我会拼尽全力尽我所能也理所当然应该有所回报的想法我真的太爱了他活得真的很通透三观非常非常正好多事都特别拎得清,主播品质,positive,2414
处理问题也从来不会推卸责任他每次直播说：所有女生！,主播责任感,positive,2415
不会再买李佳琦垃圾,主播支持度,negative,2416
李佳琦直播间买的芙丽芳丝精华水结果收到货是已经放了1年半的挤压货只还有一年多就过期了,护肤品质量,negative,2417
联系李佳琦没人理联系天猫店客服说只能退那我用的红包和耗的时间呢？,售后,negative,2418
买的娇韵诗双萃精华水只有一年三个月的保质期也是很下头，一不注意就过期了,护肤品质量,negative,2419
